nombre_region,sigla_region
Arica y Parinacota,XV
Tarapacá,I
Antofagasta,II
Atacama,III
Coquimbo,IV
Valparaiso,V
Metropolitana de Santiago,XIII
O'Higgins,VI
Maule,VII
Biobío,VIII
La Araucanía,IX
Los Ríos,XIV
Los Lagos,X
Aysén del General Carlos Ibáñez del Campo,XI
Magallanes y de la Antártica Chilena,XII
Ñuble,XVI
