mcc_code,agrupacion_rubro_gsauma,descripcion_nacional,glosa_mcc,descripcion_mcc
5812,RESTAURANTES,"BARES, PUBS Y FUENTES DE SODA",CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5813,RESTAURANTES,"BARES, PUBS Y FUENTES DE SODA",CONSUMO DE ALIMENTOS Y BEBIDAS,"LUGARES PARA BEBER (BEBIDAS ALCOHÓLICAS) – BARES, TABERNAS, CLUBES NOCTURNOS, SALAS DE CÓCTELES Y DISCOTECAS. (DISCOTECAS, PEÑAS, BARES Y PUB'S) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5499,RESTAURANTES,FERIAS LIBRES Y MERCADO DE ALIMENTACION,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,BOITES Y CLUBES NOCTURNOS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5813,RESTAURANTES,BOITES Y CLUBES NOCTURNOS,CONSUMO DE ALIMENTOS Y BEBIDAS,"LUGARES PARA BEBER (BEBIDAS ALCOHÓLICAS) – BARES, TABERNAS, CLUBES NOCTURNOS, SALAS DE CÓCTELES Y DISCOTECAS. (DISCOTECAS, PEÑAS, BARES Y PUB'S) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5812,RESTAURANTES,CAFETERIAS Y SALONES DE TE,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,CLUBES SOCIALES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5813,RESTAURANTES,DISCOTHEQUES,CONSUMO DE ALIMENTOS Y BEBIDAS,"LUGARES PARA BEBER (BEBIDAS ALCOHÓLICAS) – BARES, TABERNAS, CLUBES NOCTURNOS, SALAS DE CÓCTELES Y DISCOTECAS. (DISCOTECAS, PEÑAS, BARES Y PUB'S) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5812,RESTAURANTES,APUESTAS Y JUEGOS DE AZAR,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5814,RESTAURANTES,ENTRETENIMIENTOS ELECTRONICOS PARQUE DIVERSIONES,CONSUMO DE ALIMENTOS Y BEBIDAS,"RESTAURANTES DE COMIDA RÁPIDA (CAFETERIAS, SNAKS, SERVICIO EXPRESS) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5812,RESTAURANTES,HELADERIAS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,PIZZERIAS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,RESTAURANTES,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,RESTAURANTES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5814,RESTAURANTES,RESTAURANTES,CONSUMO DE ALIMENTOS Y BEBIDAS,"RESTAURANTES DE COMIDA RÁPIDA (CAFETERIAS, SNAKS, SERVICIO EXPRESS) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5812,RESTAURANTES,RESTAURANT DE HOTELES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,TIENDAS DE CONVENIENCIA,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,TIENDAS DE CONVENIENCIA,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,TIENDAS DE CONVENIENCIA COPEC,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,TIENDAS DE CONVENIENCIA SHELL,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,SERVICIOS ESPECIALIZADOS AUTOMOTRICES,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,TIENDAS DE CONVENIENCIA PETROBRAS,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,HOTELES CINCO ESTRELLAS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,HOTELES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,MOTELES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,RESIDENCIALES,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,TIENDAS DE ROPA PARA LA FAMILIA,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,VESTUARIO PARA MUJER,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,ARTICULOS ELECTRONICOS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5814,RESTAURANTES,CORTINAS Y TAPICES,CONSUMO DE ALIMENTOS Y BEBIDAS,"RESTAURANTES DE COMIDA RÁPIDA (CAFETERIAS, SNAKS, SERVICIO EXPRESS) (AGRUPA RUBROS: 5812-5813-5814-5499)"
5812,RESTAURANTES,ARTICULOS DE REGALO Y SOUVENIRS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5812,RESTAURANTES,CORDONERIAS Y PAQUETERIAS,CONSUMO DE ALIMENTOS Y BEBIDAS,LUGARES PARA COMER Y RESTAURANTES (RESTAURANTES) (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,MALETERIAS,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
5499,RESTAURANTES,PERFUMERIAS,ALIMENTOS EN GENERAL,TIENDAS MISCELÁNEAS DE COMIDA – TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS. (AGRUPA RUBROS: 5812-5813-5814-5499)
4900,SERVICIOS BÁSICOS,ELECTRICAS,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,SANITARIAS,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,GAS NATURAL,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4814,SERVICIOS BÁSICOS,SERVICIOS TELECOMUNICACIONES,SERVICIOS DE COMUNICACION,"SERVICIOS DE TELECOMUNICACIÓN INCLUYENDO LLAMADAS LOCALES Y DE LARGA DISTANCIA, LLAMADAS CON TARJETA DE CRÉDITO A TRAVÉS DE TELÉFONOS CON LECTORA DE BANDA MAGNÉTICA Y SERVICIOS DE FAX. (AGRUPA RUBROS: 4814-4900)"
4814,SERVICIOS BÁSICOS,TELEFONIA MOVIL,SERVICIOS DE COMUNICACION,"SERVICIOS DE TELECOMUNICACIÓN INCLUYENDO LLAMADAS LOCALES Y DE LARGA DISTANCIA, LLAMADAS CON TARJETA DE CRÉDITO A TRAVÉS DE TELÉFONOS CON LECTORA DE BANDA MAGNÉTICA Y SERVICIOS DE FAX. (AGRUPA RUBROS: 4814-4900)"
4814,SERVICIOS BÁSICOS,TELEFONIA FIJA,SERVICIOS DE COMUNICACION,"SERVICIOS DE TELECOMUNICACIÓN INCLUYENDO LLAMADAS LOCALES Y DE LARGA DISTANCIA, LLAMADAS CON TARJETA DE CRÉDITO A TRAVÉS DE TELÉFONOS CON LECTORA DE BANDA MAGNÉTICA Y SERVICIOS DE FAX. (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,TELEFONIA FIJA,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,SANITARIAS VIP,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,ELECTRICAS VIP,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,GAS NATURAL VIP,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4814,SERVICIOS BÁSICOS,TELEFONIA FIJA VIP,SERVICIOS DE COMUNICACION,"SERVICIOS DE TELECOMUNICACIÓN INCLUYENDO LLAMADAS LOCALES Y DE LARGA DISTANCIA, LLAMADAS CON TARJETA DE CRÉDITO A TRAVÉS DE TELÉFONOS CON LECTORA DE BANDA MAGNÉTICA Y SERVICIOS DE FAX. (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,TELEFONIA FIJA VIP,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,EMPRESAS RECAUDADORAS,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,COMPANIA GAS LICUADO,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,DISTRIBUIDORES,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,"ARTICULOS, SISTEMAS ELECTRICOS Y ELECTRONICOS",SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
4900,SERVICIOS BÁSICOS,OTROS DEL RUBRO ESPECIALIDADES,SERVICIOS PUBLICOS,"SERVICIOS ELECTRICIDAD, AGUA, SANITARIOS (AGRUPA RUBROS: 4814-4900)"
5411,SUPERMERCADOS,SUPERMERCADOS CASO A CASO,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,SUPERMERCADOS,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,MINIMARKET,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,VINOS Y LICORES,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,RESTAURANTES,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,GRANDES TIENDAS,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5411,SUPERMERCADOS,ARTICULOS ELECTRONICOS,ALIMENTOS EN GENERAL,"TIENDAS DE COMESTIBLES Y SUPERMERCADOS (MINIMARKETS, BODEGAS Y SUPERMERCADOS)"
5651,VESTUARIO,GRANDES TIENDAS,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5651,VESTUARIO,PANTALONES,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5651,VESTUARIO,TIENDAS Y FABRICAS DE TEJIDOS,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5651,VESTUARIO,TIENDAS DE ROPA PARA LA FAMILIA,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5651,VESTUARIO,VESTUARIO PARA HOMBRES,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5651,VESTUARIO,VESTUARIO PARA MUJER,VESTIMENTA E INDUMENTARIA,TIENDAS DE ROPA FAMILIAR
5661,ZAPATERÍAS,TIENDAS DE CALZADO PARA LA FAMILIA,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
5661,ZAPATERÍAS,TIENDAS DE ROPA PARA LA FAMILIA,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
5661,ZAPATERÍAS,ARTICULOS PARA HOMBRES,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
5661,ZAPATERÍAS,CALZADOS PARA HOMBRES,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
5661,ZAPATERÍAS,CALZADOS PARA MUJER,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
5661,ZAPATERÍAS,CALZADOS PARA NINOS Y GUAGUAS,VESTIMENTA E INDUMENTARIA,"ZAPATERIAS (PARTE DE VESTUARIO, RUBRO: 5651)"
